y_1_25,y_2_25,y_5_25,y_6_25,y_mc_hu_25,y_1,y_2,y_5,y_6,y_mc_hu
2.3029,2.3523,0,0,0,2.2817,2.3624,0,0,0
2.3104,2.347,0,0,0,2.3147,2.3843,0,0,0
2.3066,2.3448,0,0,0,2.2891,2.3946,0,0,0
2.3221,2.3351,0,0,0,2.2943,2.3645,0,0,0
2.3253,2.3382,0,0,0,2.2899,2.3654,0,0,0
2.3218,2.3408,0,0,0,2.279,2.3602,0,0,0
2.3422,2.3467,0,0,0,2.2792,2.3791,0,0,0
2.3415,2.3461,0,0,0,2.2871,2.3893,0,0,0
2.3396,2.3589,0,0,0,2.2798,2.383,0,0,0
2.3508,2.3852,0,0,0,2.2957,2.3896,0,0,0
2.341,2.3733,0,0,0,2.2816,2.3975,0,0,0
2.3556,2.3875,0,0,0,2.3191,2.3918,0,0,0
2.3534,2.3754,0,0,0,2.3311,2.3639,0,0,0
2.3612,2.3956,0,0,0,2.3165,2.3717,0,0,0
2.3446,2.3974,0,0,0,2.3121,2.3904,0,0,0
2.3495,2.3875,0,0,0,2.3415,2.3681,0,0,0
2.3182,2.3859,0,0,0,2.3301,2.3856,0,0,0
2.3302,2.3585,0,0,0,2.3386,2.4095,0,0,0
2.3277,2.3823,0,0,0,2.3502,2.4136,0,0,0
2.3403,2.3791,0,0,0,2.3392,2.4121,0,0,0
2.3142,2.3676,0,0,0,2.3224,2.4154,0,0,0
2.3253,2.3836,0,0,0,2.3237,2.4144,0,0,0
2.3348,2.3809,0,0,0,2.3302,2.3995,0,0,0
2.3453,2.3639,0,0,0,2.3399,2.3864,0,0,0
2.3548,2.3701,0,0,0,2.353,2.3724,0,0,0
2.3669,2.3777,0,0,0,2.3503,2.3942,0,0,0
2.3729,2.3615,0,0,0,2.3428,2.4414,0,0,0
2.3728,2.3689,0,0,0,2.3436,2.4336,0,0,0
2.3596,2.3578,0,0,0,2.3505,2.4432,0,0,0
2.3539,2.3719,0,0,0,2.3325,2.4677,0,0,0
2.3548,2.3846,0,0,0,2.3284,2.4584,0,0,0
2.3539,2.3946,0,0,0,2.339,2.4276,0,0,0
2.3559,2.3824,0,0,0,2.362,2.434,0,0,0
2.3548,2.3749,0,0,0,2.3445,2.4311,0,0,0
2.3409,2.3597,0,0,0,2.3488,2.4272,0,0,0
2.348,2.3411,0,0,0,2.3193,2.4124,0,0,0
2.3789,2.3372,0,0,0,2.3158,2.4048,0,0,0
2.376,2.3473,0,0,0,2.3228,2.4342,0,0,0
2.3724,2.3837,0,0,0,2.3322,2.4221,0,0,0
2.368,2.4032,0,0,0,2.3361,2.4347,0,0,0
2.3646,2.4124,0,0,0,2.3371,2.4519,0,0,0
2.3692,2.3997,0,0,0,2.3306,2.4466,0,0,0
2.3716,2.4017,0,0,0,2.333,2.4259,0,0,0
2.371,2.3929,0,0,0,2.3217,2.4205,0,0,0
2.3956,2.4083,0,0,0,2.3237,2.3951,0,0,0
2.3757,2.4139,0,0,0,2.3286,2.4058,0,0,0
2.3727,2.4054,0,0,0,2.3111,2.4125,0,0,0
2.3785,2.4124,0,0,0,2.2974,2.44,0,0,0
2.3739,2.4,0,0,0,2.3052,2.4401,0,0,0
2.3598,2.3901,0,0,0,2.3173,2.4702,0,0,0
2.3443,2.392,0,0,0,2.3181,2.4524,0,0,0
2.3629,2.3936,0,0,0,2.2912,2.4462,0,0,0
2.3751,2.4066,0,0,0,2.3287,2.4464,0,0,0
2.3827,2.4099,0,0,0,2.3431,2.4582,0,0,0
2.3905,2.3963,0,0,0,2.3571,2.4566,0,0,0
2.3935,2.4167,0,0,0,2.3837,2.4626,0,0,0
2.3766,2.4183,0,0,0,2.3662,2.4547,0,0,0
2.3744,2.4182,0,0,0,2.3978,2.4656,0,0,0
2.383,2.4099,0,0,0,2.3578,2.4657,0,0,0
