y_1_25,y_2_25,y_5_25,y_6_25,y_mc_hu_25,y_1,y_2,y_5,y_6,y_mc_hu
2.216,2.1598,0,0,0
2.0345,2.0914,0,0,0
1.9971,2.2579,0,0,0
2.1158,2.2867,0,0,0
2.0716,2.2595,0,0,0
2.1675,2.2827,0,0,0
2.2705,2.4304,0,0,0
2.2466,2.3464,0,0,0
2.2426,2.6003,0,0,0
2.2733,2.4336,0,0,0
2.2556,2.2695,0,0,0
2.2667,2.2771,0,0,0
2.1205,2.1728,0,0,0
2.2715,2.1762,0,0,0
2.2923,2.1764,0,0,0
2.3283,2.1841,0,0,0
2.2817,2.354,0,0,0
2.3317,2.3511,0,0,0
2.2715,2.3275,0,0,0
2.3662,2.3176,0,0,0
2.3249,2.2711,0,0,0
2.2639,2.3175,0,0,0
2.1485,2.2713,0,0,0
2.0286,2.1967,0,0,0
1.9449,2.1797,0,0,0
2.0062,2.214,0,0,0
2.0629,2.1866,0,0,0
2.1926,2.2229,0,0,0
2.1596,2.0188,0,0,0
2.2939,2.1179,0,0,0
2.2906,2.1412,0,0,0
2.1901,2.1827,0,0,0
2.3761,2.3046,0,0,0
2.3998,2.3979,0,0,0
2.3586,2.3763,0,0,0
2.3533,2.5059,0,0,0
2.287,2.4406,0,0,0
2.1989,2.3462,0,0,0
2.0622,2.4475,0,0,0
2.0084,2.4933,0,0,0
2.1543,2.3756,0,0,0
2.0833,2.2789,0,0,0
2.0936,2.1626,0,0,0
2.0087,2.1994,0,0,0
2.0335,2.0647,0,0,0
2.1377,2.0204,0,0,0
2.1695,1.9364,0,0,0
2.1207,2.0266,0,0,0
2.0449,2.1347,0,0,0
2.0736,2.2087,0,0,0
2.0888,2.2984,0,0,0
2.1115,2.4416,0,0,0
2.1208,2.4587,0,0,0
2.2202,2.184,0,0,0
2.2427,1.9591,0,0,0
2.1434,2.0477,0,0,0
2.1599,2.177,0,0,0
2.1648,2.1753,0,0,0
2.1591,2.1952,0,0,0
2.1281,2.2333,0,0,0
2.2146,2.1672,0,0,0
2.1849,2.1017,0,0,0
2.181,2.1103,0,0,0
2.0385,2.2018,0,0,0
2.0393,2.2273,0,0,0
2.263,2.1748,0,0,0
2.3694,2.1029,0,0,0
