is_com,coherence,hand_IT
1,0,0,0.050278
2,0,0,0.21485
3,0,0,0.033316
4,0,0,0.10967
5,0,0,0.45738
6,0,0,0.075291
7,0,0,0.27666
8,0,0,0.2171
9,0,0,0.026516
10,0,0,0.78977
11,0,0,0.088423
12,0,0,0.084206
13,0,0,0.2207
14,1,0,0.5249
15,1,0,0.078203
16,1,0,0.37218
17,0,0,0.095245
18,0,0,0.065554
19,1,0,0.16375
20,1,0,0.14247
21,0,0,0.057082
22,0,0,0.31117
23,0,0,0.094044
24,0,0,0.088378
25,0,0,0.072611
26,0,0,0.45643
27,0,0,0.029515
28,0,0,0.066334
29,0,0,0.17776
30,0,0,0.082898
31,1,0,0.33668
32,1,0,0.22724
33,1,0,0.18078
34,1,0,0.13703
35,0,0,0.046535
36,0,0,0.18698
37,0,0,0.18413
38,0,0,0.034011
39,0,0,0.032347
40,1,0,0.056511
41,0,0,0.055022
42,0,0,0.19405
43,0,0,0.13442
44,0,0,0.18705
45,0,0,0.05074
46,1,0,0.056664
47,0,0,0.060993
48,0,0,0.24608
49,0,0,0.049746
50,0,0,0.25197
51,0,0,0.18272
52,0,0,0.11872
53,1,0,0.071689
54,0,0,0.12127
55,0,0,0.59062
56,1,0,0.31815
57,1,0,0.12686
58,0,0,0.093418
59,1,0,0.078342
60,0,0,0.089212
61,0,0,0.23213
62,1,0,0.19621
63,0,0,0.12551
64,1,0,0.27335
65,0,0,0.059836
66,1,0,0.13849
67,0,0,0.086711
68,0,0,0.12525
69,1,0,0.035154
70,0,0,0.068006
71,0,0,0.29396
72,0,0,0.035102
73,0,0,0.093029
74,0,0,0.071075
75,0,0,0.3685
76,1,0,0.45049
77,1,0,0.072406
78,0,0,0.028695
79,0,0,0.22493
80,0,0,0.016051
81,0,0,0.20526
82,0,0,0.082247
83,0,0,0.051334
84,0,0,0.046263
85,0,0,0.047938
86,0,0,0.09666
87,0,0,0.083138
88,0,0,0.053606
89,0,0,0.089874
90,0,0,0.1182
91,1,0,0.097266
92,0,0,0.15746
93,0,0,0.090348
94,0,0,0.076207
95,0,0,0.062468
96,0,0,0.19137
97,0,0,0.29557
98,0,0,0.014743
99,0,0,0.15825
100,0,0,0.17439
101,0,0,0.11006
102,0,0,0.068705
103,0,0,0.25232
104,0,0,0.063192
105,0,0,0.19074
106,0,0,0.17692
107,0,0,0.11452
108,0,0,0.079391
109,0,0,0.16817
110,0,0,0.055116
111,1,0,0.17923
112,0,0,0.080575
113,0,0,0.091777
114,0,0,0.30825
115,0,0,0.071958
116,0,0,0.17646
117,0,0,0.072775
118,0,0,0.091602
119,0,0,0.24883
120,0,0,0.12712
121,0,0,0.061024
122,0,0,0.045505
123,1,0,0.12946
124,0,0,0.077337
125,0,0,0.087087
126,0,0,0.22869
127,1,0,0.18797
128,0,0,0.10743
129,1,0,0.054533
130,0,0,0.10648
131,0,0,0.27366
132,0,0,0.11085
133,0,0,0.082298
134,0,0,0.019989
135,0,0,0.13084
136,0,0,0.050349
137,0,0,0.36982
138,1,0,0.057226
139,0,0,0.078226
140,0,0,0.20778
141,0,0,0.20446
142,0,0,0.040925
143,1,0,0.1156
144,0,0,0.1591
145,0,0,0.55044
146,0,0,0.11726
147,0,0,0.085295
148,0,0,0.066076
149,0,0,0.16078
150,0,0,0.047045
151,0,0,0.072029
152,0,0,0.12337
153,1,0,0.35144
154,1,0,0.037265
155,0,0,0.10757
156,0,0,0.36275
157,0,0,0.28049
158,0,0,0.20312
159,0,0,0.093911
160,0,0,0.18615
161,0,0,0.047637
162,0,0,0.23979
163,1,0,0.52837
164,0,0,0.20216
165,0,0,0.080343
166,1,0,0.11048
167,0,0,0.3741
168,0,0,0.14796
169,0,0,0.067025
170,0,0,0.079689
171,0,0,0.052878
172,0,0,0.1152
173,0,0,0.02795
174,0,0,0.17652
175,0,0,0.1219
176,0,0,0.16203
177,0,0,0.04812
178,0,0,0.21698
179,0,0,0.13828
180,0,0,0.039624
181,1,0,0.12428
182,0,0,0.34793
183,0,0,0.24259
184,0,0,0.11382
185,0,0,0.048071
186,0,0,0.046128
187,0,0,0.28174
188,0,0,0.23277
189,0,0,0.14851
190,1,0,0.044788
191,0,0,0.059446
192,0,0,0.29154
193,0,0,0.044836
194,0,0,0.18452
195,0,0,0.095521
196,1,0,0.25593
197,1,0,0.16746
198,0,0,0.21744
199,0,0,0.21279
200,0,0,0.30493
201,1,0,0.24352
202,1,0,0.26744
203,0,0,0.29563
204,0,0,0.32639
205,1,0,0.10027
206,0,0,0.049431
207,0,0,0.11096
208,0,0,0.50634
209,0,0,0.34821
210,0,0,0.097356
211,0,0,0.03449
212,0,0,0.11835
213,1,0,0.068689
214,0,0,0.49177
215,1,0,0.15707
216,0,0,0.11946
