pcorrect_x_fit,pcorrect_y_fit
0,0.5
0.0512,0.50043
0.1024,0.50103
0.1536,0.50172
0.2048,0.50247
0.256,0.50326
0.3072,0.5041
0.3584,0.50498
0.4096,0.50588
0.4608,0.50681
0.512,0.50777
0.5632,0.50875
0.6144,0.50975
0.6656,0.51077
0.7168,0.51181
0.768,0.51287
0.8192,0.51394
0.8704,0.51503
0.9216,0.51613
0.9728,0.51724
1.024,0.51837
1.0752,0.51951
1.1264,0.52066
1.1776,0.52182
1.2288,0.523
1.28,0.52418
1.3312,0.52537
1.3824,0.52657
1.4336,0.52778
1.4848,0.52899
1.536,0.53021
1.5872,0.53145
1.6384,0.53268
1.6896,0.53393
1.7408,0.53518
1.792,0.53644
1.8432,0.5377
1.8944,0.53897
1.9456,0.54024
1.9968,0.54152
2.048,0.5428
2.0992,0.54409
2.1504,0.54539
2.2016,0.54668
2.2528,0.54799
2.304,0.54929
2.3552,0.5506
2.4064,0.55191
2.4576,0.55323
2.5088,0.55455
2.56,0.55587
2.6112,0.55719
2.6624,0.55852
2.7136,0.55985
2.7648,0.56118
2.816,0.56252
2.8672,0.56385
2.9184,0.56519
2.9696,0.56653
3.0208,0.56788
3.072,0.56922
3.1232,0.57057
3.1744,0.57192
3.2256,0.57326
3.2768,0.57461
3.328,0.57597
3.3792,0.57732
3.4304,0.57867
3.4816,0.58003
3.5328,0.58138
3.584,0.58274
3.6352,0.58409
3.6864,0.58545
3.7376,0.58681
3.7888,0.58816
3.84,0.58952
3.8912,0.59088
3.9424,0.59224
3.9936,0.59359
4.0448,0.59495
4.096,0.59631
4.1472,0.59767
4.1984,0.59902
4.2496,0.60038
4.3008,0.60174
4.352,0.60309
4.4032,0.60445
4.4544,0.6058
4.5056,0.60716
4.5568,0.60851
4.608,0.60986
4.6592,0.61122
4.7104,0.61257
4.7616,0.61392
4.8128,0.61527
4.864,0.61661
4.9152,0.61796
4.9664,0.61931
5.0176,0.62065
5.0688,0.622
5.12,0.62334
5.1712,0.62468
5.2224,0.62602
5.2736,0.62736
5.3248,0.62869
5.376,0.63003
5.4272,0.63136
5.4784,0.63269
5.5296,0.63402
5.5808,0.63535
5.632,0.63668
5.6832,0.63801
5.7344,0.63933
5.7856,0.64065
5.8368,0.64197
5.888,0.64329
5.9392,0.6446
5.9904,0.64592
6.0416,0.64723
6.0928,0.64854
6.144,0.64985
6.1952,0.65115
6.2464,0.65246
6.2976,0.65376
6.3488,0.65506
6.4,0.65636
6.4512,0.65765
6.5024,0.65895
6.5536,0.66024
6.6048,0.66152
6.656,0.66281
6.7072,0.66409
6.7584,0.66538
6.8096,0.66665
6.8608,0.66793
6.912,0.66921
6.9632,0.67048
7.0144,0.67175
7.0656,0.67301
7.1168,0.67428
7.168,0.67554
7.2192,0.6768
7.2704,0.67805
7.3216,0.67931
7.3728,0.68056
7.424,0.68181
7.4752,0.68305
7.5264,0.68429
7.5776,0.68554
7.6288,0.68677
7.68,0.68801
7.7312,0.68924
7.7824,0.69047
7.8336,0.6917
7.8848,0.69292
7.936,0.69414
7.9872,0.69536
8.0384,0.69657
8.0896,0.69779
8.1408,0.699
8.192,0.7002
8.2432,0.70141
8.2944,0.70261
8.3456,0.7038
8.3968,0.705
8.448,0.70619
8.4992,0.70738
8.5504,0.70857
8.6016,0.70975
8.6528,0.71093
8.704,0.71211
8.7552,0.71328
8.8064,0.71445
8.8576,0.71562
8.9088,0.71678
8.96,0.71794
9.0112,0.7191
9.0624,0.72026
9.1136,0.72141
9.1648,0.72256
9.216,0.72371
9.2672,0.72485
9.3184,0.72599
9.3696,0.72713
9.4208,0.72826
9.472,0.72939
9.5232,0.73052
9.5744,0.73164
9.6256,0.73277
9.6768,0.73388
9.728,0.735
9.7792,0.73611
9.8304,0.73722
9.8816,0.73833
9.9328,0.73943
9.984,0.74053
10.035,0.74162
10.086,0.74272
10.138,0.7438
10.189,0.74489
10.24,0.74597
10.291,0.74705
10.342,0.74813
10.394,0.7492
10.445,0.75027
10.496,0.75134
10.547,0.7524
10.598,0.75347
10.65,0.75452
10.701,0.75558
10.752,0.75663
10.803,0.75768
10.854,0.75872
10.906,0.75976
10.957,0.7608
11.008,0.76183
11.059,0.76286
11.11,0.76389
11.162,0.76492
11.213,0.76594
11.264,0.76696
11.315,0.76797
11.366,0.76898
11.418,0.76999
11.469,0.771
11.52,0.772
11.571,0.773
11.622,0.774
11.674,0.77499
11.725,0.77598
11.776,0.77696
11.827,0.77795
11.878,0.77893
11.93,0.7799
11.981,0.78087
12.032,0.78184
12.083,0.78281
12.134,0.78377
12.186,0.78473
12.237,0.78569
12.288,0.78664
12.339,0.7876
12.39,0.78854
12.442,0.78949
12.493,0.79043
12.544,0.79136
12.595,0.7923
12.646,0.79323
12.698,0.79416
12.749,0.79508
12.8,0.796
12.851,0.79692
12.902,0.79784
12.954,0.79875
13.005,0.79966
13.056,0.80056
13.107,0.80147
13.158,0.80236
13.21,0.80326
13.261,0.80415
13.312,0.80504
13.363,0.80593
13.414,0.80681
13.466,0.80769
13.517,0.80857
13.568,0.80944
13.619,0.81031
13.67,0.81118
13.722,0.81205
13.773,0.81291
13.824,0.81376
13.875,0.81462
13.926,0.81547
13.978,0.81632
14.029,0.81717
14.08,0.81801
14.131,0.81885
14.182,0.81968
14.234,0.82052
14.285,0.82135
14.336,0.82217
14.387,0.823
14.438,0.82382
14.49,0.82464
14.541,0.82545
14.592,0.82626
14.643,0.82707
14.694,0.82788
14.746,0.82868
14.797,0.82948
14.848,0.83028
14.899,0.83107
14.95,0.83186
15.002,0.83265
15.053,0.83343
15.104,0.83422
15.155,0.83499
15.206,0.83577
15.258,0.83654
15.309,0.83731
15.36,0.83808
15.411,0.83884
15.462,0.8396
15.514,0.84036
15.565,0.84112
15.616,0.84187
15.667,0.84262
15.718,0.84336
15.77,0.84411
15.821,0.84485
15.872,0.84558
15.923,0.84632
15.974,0.84705
16.026,0.84778
16.077,0.8485
16.128,0.84923
16.179,0.84995
16.23,0.85066
16.282,0.85138
16.333,0.85209
16.384,0.8528
16.435,0.85351
16.486,0.85421
16.538,0.85491
16.589,0.85561
16.64,0.8563
16.691,0.85699
16.742,0.85768
16.794,0.85837
16.845,0.85905
16.896,0.85973
16.947,0.86041
16.998,0.86108
17.05,0.86176
17.101,0.86243
17.152,0.86309
17.203,0.86376
17.254,0.86442
17.306,0.86508
17.357,0.86573
17.408,0.86639
17.459,0.86704
17.51,0.86769
17.562,0.86833
17.613,0.86898
17.664,0.86962
17.715,0.87025
17.766,0.87089
17.818,0.87152
17.869,0.87215
17.92,0.87278
17.971,0.8734
18.022,0.87402
18.074,0.87464
18.125,0.87526
18.176,0.87587
18.227,0.87648
18.278,0.87709
18.33,0.8777
18.381,0.8783
18.432,0.8789
18.483,0.8795
18.534,0.8801
18.586,0.88069
18.637,0.88128
18.688,0.88187
18.739,0.88245
18.79,0.88304
18.842,0.88362
18.893,0.8842
18.944,0.88477
18.995,0.88535
19.046,0.88592
19.098,0.88649
19.149,0.88705
19.2,0.88762
19.251,0.88818
19.302,0.88874
19.354,0.88929
19.405,0.88985
19.456,0.8904
19.507,0.89095
19.558,0.8915
19.61,0.89204
19.661,0.89258
19.712,0.89312
19.763,0.89366
19.814,0.89419
19.866,0.89473
19.917,0.89526
19.968,0.89578
20.019,0.89631
20.07,0.89683
20.122,0.89736
20.173,0.89787
20.224,0.89839
20.275,0.8989
20.326,0.89942
20.378,0.89993
20.429,0.90043
20.48,0.90094
20.531,0.90144
20.582,0.90194
20.634,0.90244
20.685,0.90294
20.736,0.90343
20.787,0.90392
20.838,0.90441
20.89,0.9049
20.941,0.90539
20.992,0.90587
21.043,0.90635
21.094,0.90683
21.146,0.90731
21.197,0.90778
21.248,0.90825
21.299,0.90872
21.35,0.90919
21.402,0.90966
21.453,0.91012
21.504,0.91058
21.555,0.91104
21.606,0.9115
21.658,0.91196
21.709,0.91241
21.76,0.91286
21.811,0.91331
21.862,0.91376
21.914,0.9142
21.965,0.91465
22.016,0.91509
22.067,0.91553
22.118,0.91596
22.17,0.9164
22.221,0.91683
22.272,0.91726
22.323,0.91769
22.374,0.91812
22.426,0.91855
22.477,0.91897
22.528,0.91939
22.579,0.91981
22.63,0.92023
22.682,0.92064
22.733,0.92106
22.784,0.92147
22.835,0.92188
22.886,0.92229
22.938,0.92269
22.989,0.9231
23.04,0.9235
23.091,0.9239
23.142,0.9243
23.194,0.92469
23.245,0.92509
23.296,0.92548
23.347,0.92587
23.398,0.92626
23.45,0.92665
23.501,0.92703
23.552,0.92742
23.603,0.9278
23.654,0.92818
23.706,0.92856
23.757,0.92894
23.808,0.92931
23.859,0.92968
23.91,0.93006
23.962,0.93042
24.013,0.93079
24.064,0.93116
24.115,0.93152
24.166,0.93189
24.218,0.93225
24.269,0.93261
24.32,0.93296
24.371,0.93332
24.422,0.93367
24.474,0.93402
24.525,0.93438
24.576,0.93472
24.627,0.93507
24.678,0.93542
24.73,0.93576
24.781,0.9361
24.832,0.93644
24.883,0.93678
24.934,0.93712
24.986,0.93746
25.037,0.93779
25.088,0.93812
25.139,0.93845
25.19,0.93878
25.242,0.93911
25.293,0.93944
25.344,0.93976
25.395,0.94009
25.446,0.94041
25.498,0.94073
25.549,0.94105
25.6,0.94136
25.651,0.94168
25.702,0.94199
25.754,0.9423
25.805,0.94261
25.856,0.94292
25.907,0.94323
25.958,0.94354
26.01,0.94384
26.061,0.94414
26.112,0.94445
26.163,0.94475
26.214,0.94505
26.266,0.94534
26.317,0.94564
26.368,0.94593
26.419,0.94623
26.47,0.94652
26.522,0.94681
26.573,0.9471
26.624,0.94738
26.675,0.94767
26.726,0.94795
26.778,0.94824
26.829,0.94852
26.88,0.9488
26.931,0.94908
26.982,0.94935
27.034,0.94963
27.085,0.9499
27.136,0.95018
27.187,0.95045
27.238,0.95072
27.29,0.95099
27.341,0.95126
27.392,0.95152
27.443,0.95179
27.494,0.95205
27.546,0.95232
27.597,0.95258
27.648,0.95284
27.699,0.9531
27.75,0.95335
27.802,0.95361
27.853,0.95386
27.904,0.95412
27.955,0.95437
28.006,0.95462
28.058,0.95487
28.109,0.95512
28.16,0.95537
28.211,0.95561
28.262,0.95586
28.314,0.9561
28.365,0.95634
28.416,0.95658
28.467,0.95682
28.518,0.95706
28.57,0.9573
28.621,0.95753
28.672,0.95777
28.723,0.958
28.774,0.95824
28.826,0.95847
28.877,0.9587
28.928,0.95893
28.979,0.95915
29.03,0.95938
29.082,0.95961
29.133,0.95983
29.184,0.96005
29.235,0.96028
29.286,0.9605
29.338,0.96072
29.389,0.96094
29.44,0.96115
29.491,0.96137
29.542,0.96159
29.594,0.9618
29.645,0.96201
29.696,0.96223
29.747,0.96244
29.798,0.96265
29.85,0.96285
29.901,0.96306
29.952,0.96327
30.003,0.96347
30.054,0.96368
30.106,0.96388
30.157,0.96409
30.208,0.96429
30.259,0.96449
30.31,0.96469
30.362,0.96488
30.413,0.96508
30.464,0.96528
30.515,0.96547
30.566,0.96567
30.618,0.96586
