x_fit,y_fit
0.355,0.65642
0.356,0.65667
0.357,0.65691
0.358,0.65716
0.359,0.6574
0.36,0.65765
0.361,0.6579
0.362,0.65814
0.363,0.65839
0.364,0.65864
0.365,0.65889
0.366,0.65914
0.367,0.6594
0.368,0.65965
0.369,0.6599
0.37,0.66015
0.371,0.66041
0.372,0.66066
0.373,0.66092
0.374,0.66118
0.375,0.66143
0.376,0.66169
0.377,0.66195
0.378,0.66221
0.379,0.66247
0.38,0.66273
0.381,0.66299
0.382,0.66325
0.383,0.66351
0.384,0.66377
0.385,0.66404
0.386,0.6643
0.387,0.66457
0.388,0.66483
0.389,0.6651
0.39,0.66537
0.391,0.66563
0.392,0.6659
0.393,0.66617
0.394,0.66644
0.395,0.66671
0.396,0.66698
0.397,0.66725
0.398,0.66753
0.399,0.6678
0.4,0.66807
0.401,0.66835
0.402,0.66862
0.403,0.6689
0.404,0.66917
0.405,0.66945
0.406,0.66973
0.407,0.67
0.408,0.67028
0.409,0.67056
0.41,0.67084
0.411,0.67112
0.412,0.6714
0.413,0.67168
0.414,0.67197
0.415,0.67225
0.416,0.67253
0.417,0.67282
0.418,0.6731
0.419,0.67339
0.42,0.67367
0.421,0.67396
0.422,0.67425
0.423,0.67454
0.424,0.67483
0.425,0.67511
0.426,0.6754
0.427,0.6757
0.428,0.67599
0.429,0.67628
0.43,0.67657
0.431,0.67686
0.432,0.67716
0.433,0.67745
0.434,0.67775
0.435,0.67804
0.436,0.67834
0.437,0.67863
0.438,0.67893
0.439,0.67923
0.44,0.67953
0.441,0.67983
0.442,0.68013
0.443,0.68043
0.444,0.68073
0.445,0.68103
0.446,0.68133
0.447,0.68163
0.448,0.68194
0.449,0.68224
0.45,0.68254
0.451,0.68285
0.452,0.68316
0.453,0.68346
0.454,0.68377
0.455,0.68408
0.456,0.68438
0.457,0.68469
0.458,0.685
0.459,0.68531
0.46,0.68562
0.461,0.68593
0.462,0.68624
0.463,0.68656
0.464,0.68687
0.465,0.68718
0.466,0.6875
0.467,0.68781
0.468,0.68812
0.469,0.68844
0.47,0.68876
0.471,0.68907
0.472,0.68939
0.473,0.68971
0.474,0.69003
0.475,0.69034
0.476,0.69066
0.477,0.69098
0.478,0.6913
0.479,0.69163
0.48,0.69195
0.481,0.69227
0.482,0.69259
0.483,0.69292
0.484,0.69324
0.485,0.69356
0.486,0.69389
0.487,0.69422
0.488,0.69454
0.489,0.69487
0.49,0.6952
0.491,0.69552
0.492,0.69585
0.493,0.69618
0.494,0.69651
0.495,0.69684
0.496,0.69717
0.497,0.6975
0.498,0.69783
0.499,0.69817
0.5,0.6985
0.501,0.69883
0.502,0.69916
0.503,0.6995
0.504,0.69983
0.505,0.70017
0.506,0.70051
0.507,0.70084
0.508,0.70118
0.509,0.70152
0.51,0.70185
0.511,0.70219
0.512,0.70253
0.513,0.70287
0.514,0.70321
0.515,0.70355
0.516,0.70389
