y_1_25,y_2_25,y_3_25,y_4_25,y_5_25,y_6_25,y_7_25,y_8_25,y_mc_hu_25,y_mc_lu_25,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_mc_hu,y_mc_lu
2.3925,2.3885,0,0,0,0,0,0,0,0,2.3588,2.4393,0,0,0,0,0,0,0,0
2.3219,2.2986,0,0,0,0,0,0,0,0,2.2717,2.3373,0,0,0,0,0,0,0,0
2.2719,2.2529,0,0,0,0,0,0,0,0,2.2096,2.2913,0,0,0,0,0,0,0,0
2.2314,2.2315,0,0,0,0,0,0,0,0,2.1962,2.3077,0,0,0,0,0,0,0,0
2.2005,2.2367,0,0,0,0,0,0,0,0,2.2036,2.2557,0,0,0,0,0,0,0,0
2.2079,2.2294,0,0,0,0,0,0,0,0,2.1361,2.2291,0,0,0,0,0,0,0,0
2.1857,2.2188,0,0,0,0,0,0,0,0,2.1281,2.2331,0,0,0,0,0,0,0,0
2.1796,2.2195,0,0,0,0,0,0,0,0,2.1426,2.2666,0,0,0,0,0,0,0,0
2.1995,2.2092,0,0,0,0,0,0,0,0,2.1477,2.2697,0,0,0,0,0,0,0,0
2.2012,2.2325,0,0,0,0,0,0,0,0,2.1707,2.2247,0,0,0,0,0,0,0,0
2.2003,2.2299,0,0,0,0,0,0,0,0,2.1934,2.2269,0,0,0,0,0,0,0,0
2.1987,2.2211,0,0,0,0,0,0,0,0,2.2302,2.2134,0,0,0,0,0,0,0,0
2.204,2.2116,0,0,0,0,0,0,0,0,2.2216,2.195,0,0,0,0,0,0,0,0
2.1971,2.2474,0,0,0,0,0,0,0,0,2.2164,2.2176,0,0,0,0,0,0,0,0
2.1841,2.2337,0,0,0,0,0,0,0,0,2.2194,2.2117,0,0,0,0,0,0,0,0
2.2,2.2501,0,0,0,0,0,0,0,0,2.2174,2.2383,0,0,0,0,0,0,0,0
2.2204,2.2515,0,0,0,0,0,0,0,0,2.1852,2.2488,0,0,0,0,0,0,0,0
2.2106,2.2553,0,0,0,0,0,0,0,0,2.2031,2.2154,0,0,0,0,0,0,0,0
2.2249,2.235,0,0,0,0,0,0,0,0,2.1857,2.2537,0,0,0,0,0,0,0,0
2.2279,2.2524,0,0,0,0,0,0,0,0,2.1704,2.2514,0,0,0,0,0,0,0,0
2.226,2.2242,0,0,0,0,0,0,0,0,2.1652,2.2684,0,0,0,0,0,0,0,0
2.1994,2.2227,0,0,0,0,0,0,0,0,2.1726,2.262,0,0,0,0,0,0,0,0
2.208,2.2215,0,0,0,0,0,0,0,0,2.1639,2.2757,0,0,0,0,0,0,0,0
2.2094,2.2413,0,0,0,0,0,0,0,0,2.2112,2.2728,0,0,0,0,0,0,0,0
2.2061,2.256,0,0,0,0,0,0,0,0,2.2363,2.2488,0,0,0,0,0,0,0,0
2.2106,2.2473,0,0,0,0,0,0,0,0,2.2297,2.2592,0,0,0,0,0,0,0,0
2.2171,2.2419,0,0,0,0,0,0,0,0,2.2625,2.2832,0,0,0,0,0,0,0,0
2.2198,2.235,0,0,0,0,0,0,0,0,2.2558,2.2881,0,0,0,0,0,0,0,0
2.2299,2.2213,0,0,0,0,0,0,0,0,2.2175,2.3065,0,0,0,0,0,0,0,0
2.2375,2.2337,0,0,0,0,0,0,0,0,2.2157,2.317,0,0,0,0,0,0,0,0
2.2255,2.2498,0,0,0,0,0,0,0,0,2.2356,2.3066,0,0,0,0,0,0,0,0
2.2161,2.2761,0,0,0,0,0,0,0,0,2.2333,2.3099,0,0,0,0,0,0,0,0
2.241,2.2611,0,0,0,0,0,0,0,0,2.2172,2.2996,0,0,0,0,0,0,0,0
2.2759,2.2681,0,0,0,0,0,0,0,0,2.2064,2.2852,0,0,0,0,0,0,0,0
2.2513,2.2631,0,0,0,0,0,0,0,0,2.2106,2.3045,0,0,0,0,0,0,0,0
2.2373,2.2718,0,0,0,0,0,0,0,0,2.2056,2.3063,0,0,0,0,0,0,0,0
