pcorrect_com_x_fit,pcorrect_com_y_fit
0,0.56195
0.0256,0.56206
0.0512,0.56217
0.0768,0.56228
0.1024,0.56239
0.128,0.56249
0.1536,0.5626
0.1792,0.56271
0.2048,0.56282
0.2304,0.56292
0.256,0.56303
0.2816,0.56314
0.3072,0.56324
0.3328,0.56335
0.3584,0.56345
0.384,0.56356
0.4096,0.56366
0.4352,0.56377
0.4608,0.56387
0.4864,0.56398
0.512,0.56408
0.5376,0.56418
0.5632,0.56429
0.5888,0.56439
0.6144,0.56449
0.64,0.5646
0.6656,0.5647
0.6912,0.5648
0.7168,0.5649
0.7424,0.565
0.768,0.5651
0.7936,0.5652
0.8192,0.56531
0.8448,0.56541
0.8704,0.56551
0.896,0.56561
0.9216,0.5657
0.9472,0.5658
0.9728,0.5659
0.9984,0.566
1.024,0.5661
1.0496,0.5662
1.0752,0.5663
1.1008,0.56639
1.1264,0.56649
1.152,0.56659
1.1776,0.56668
1.2032,0.56678
1.2288,0.56688
1.2544,0.56697
1.28,0.56707
1.3056,0.56716
1.3312,0.56726
1.3568,0.56735
1.3824,0.56745
1.408,0.56754
1.4336,0.56764
1.4592,0.56773
1.4848,0.56782
1.5104,0.56792
1.536,0.56801
1.5616,0.5681
1.5872,0.56819
1.6128,0.56829
1.6384,0.56838
1.664,0.56847
1.6896,0.56856
1.7152,0.56865
1.7408,0.56874
1.7664,0.56883
1.792,0.56892
1.8176,0.56901
1.8432,0.5691
1.8688,0.56919
1.8944,0.56928
1.92,0.56937
1.9456,0.56946
1.9712,0.56954
1.9968,0.56963
2.0224,0.56972
2.048,0.56981
2.0736,0.56989
2.0992,0.56998
2.1248,0.57007
2.1504,0.57015
2.176,0.57024
2.2016,0.57033
2.2272,0.57041
2.2528,0.5705
2.2784,0.57058
2.304,0.57067
2.3296,0.57075
2.3552,0.57083
2.3808,0.57092
2.4064,0.571
2.432,0.57108
2.4576,0.57117
2.4832,0.57125
2.5088,0.57133
2.5344,0.57141
2.56,0.5715
2.5856,0.57158
2.6112,0.57166
2.6368,0.57174
2.6624,0.57182
2.688,0.5719
2.7136,0.57198
2.7392,0.57206
