is_com,coherence,eye_IT
1,0,0,0.53663
2,0,0,0.58376
3,0,0,0.57978
4,0,0,0.43668
5,0,0,0.79784
6,0,0,0.75298
7,0,0,0.90346
8,0,0,0.69279
9,0,0,0.79046
10,0,0,0.70471
11,1,0,0.99205
12,0,0,0.74446
13,0,0,0.51505
14,0,0,0.79614
15,0,0,0.55934
16,0,0,0.6042
17,0,0,0.99262
18,0,0,0.87507
19,0,0,0.99546
20,0,0,0.99319
21,0,0,0.93981
22,0,0,0.65417
23,0,0,0.44009
24,0,0,0.58489
25,0,0,0.85065
26,0,0,0.68938
27,0,0,0.78308
28,0,0,0.56332
29,0,0,0.52641
30,0,0,0.82907
31,0,0,0.75185
32,0,0,0.72118
33,0,0,0.53208
34,0,0,0.54401
35,0,0,0.61499
36,0,0,0.99148
37,0,0,0.82567
38,0,0,0.67916
39,0,0,0.85065
40,0,0,0.41283
41,0,0,0.68143
42,0,0,0.52243
43,0,0,0.72345
44,0,0,0.78024
45,0,0,0.79216
46,0,0,0.99262
47,0,0,0.53947
48,0,0,0.50823
49,0,0,0.6502
50,0,0,0.76945
51,0,0,0.65304
52,0,0,0.92845
53,0,0,0.6661
54,0,0,0.32198
55,0,0,0.59966
56,0,0,0.60534
57,0,0,0.63941
58,0,0,0.8092
59,0,0,0.56672
60,0,0,0.66212
61,0,0,0.5406
62,0,0,0.54969
63,0,0,0.99262
64,0,0,0.65474
65,0,0,0.68143
66,0,0,0.55934
67,0,0,0.62465
68,0,0,0.7297
69,0,0,0.53208
70,0,0,0.99091
71,0,0,0.77513
72,0,0,0.59341
73,0,0,0.80579
74,0,0,0.87677
75,0,0,0.62521
76,0,0,0.84441
77,0,0,0.57524
78,0,0,0.87394
79,0,0,0.60875
80,0,0,0.85349
81,0,0,0.68086
82,0,0,0.99262
83,0,0,0.72686
84,0,0,0.67121
85,0,0,0.46167
86,0,0,0.63714
87,0,0,0.71721
88,0,0,0.63487
89,0,0,0.77115
90,0,0,0.62692
91,0,0,0.82169
92,0,0,0.85747
93,0,0,0.44066
94,0,0,0.65474
95,0,0,0.50483
96,0,0,0.52754
97,0,0,0.73197
98,0,0,0.6979
99,0,0,0.73424
100,0,0,0.99091
101,0,0,0.56218
102,0,0,0.40659
103,0,0,0.89551
104,0,0,0.795
105,0,0,0.41227
106,0,0,0.79784
107,0,0,0.51562
108,0,0,0.795
109,0,0,0.95287
110,0,0,0.65077
111,0,0,0.62124
112,0,0,0.65645
113,0,0,0.77115
114,0,0,0.6678
115,0,0,0.71323
116,0,0,0.88529
117,0,0,0.50483
118,0,0,0.62976
119,0,0,0.40148
120,0,0,0.80239
121,0,0,0.62919
122,0,0,0.55934
123,0,0,0.87677
124,0,0,0.72629
125,0,0,0.57581
126,0,0,0.71323
127,0,0,0.9063
128,0,0,0.82226
129,0,0,0.87337
130,0,0,0.80295
131,0,0,0.54571
132,0,0,0.99375
133,1,0,0.99148
134,0,0,0.79955
135,0,0,0.50653
136,0,0,0.70812
137,0,0,0.65588
138,1,0,0.93583
139,0,0,0.6184
140,0,0,0.85349
141,0,0,0.54287
142,0,0,0.64793
143,0,0,0.52413
144,0,0,0.86258
145,0,0,0.57467
146,0,0,0.49404
147,0,0,0.99432
148,0,0,0.99319
149,0,0,0.72061
150,0,0,0.99262
151,0,0,0.66212
152,0,0,0.99262
153,0,0,0.8234
154,0,0,0.6326
155,0,0,0.99091
156,0,0,0.51789
157,0,0,0.7933
158,0,0,0.46224
159,0,0,0.98637
160,0,0,0.64111
161,0,0,0.83702
162,0,0,0.68257
163,0,0,0.78762
164,0,0,0.66099
165,0,0,0.64282
166,0,0,0.79898
167,0,0,0.67973
168,0,0,0.78308
169,0,0,0.4929
170,0,0,0.50994
171,0,0,0.53663
172,0,0,0.65872
173,0,0,0.71493
174,0,0,0.96082
175,0,0,0.63657
176,0,0,0.59796
177,0,0,0.76093
178,0,0,0.44918
179,0,0,0.60023
180,0,0,0.57581
181,0,0,0.69279
182,0,0,0.49631
183,0,0,0.99091
184,0,0,0.69165
185,0,0,0.58376
186,0,0,0.69676
187,1,0,0.92391
188,0,0,0.18683
189,0,0,0.60136
190,0,0,0.6343
191,0,0,0.65474
192,0,0,0.58433
193,0,0,0.5247
194,0,0,0.47587
195,0,0,0.41454
196,0,0,0.81772
197,0,0,0.60875
198,0,0,0.99319
199,1,0,0.80011
200,1,0,0.99262
201,0,0,0.62465
202,0,0,0.94435
203,0,0,0.57581
204,0,0,0.76718
205,0,0,0.84384
206,0,0,0.73822
207,0,0,0.91539
208,0,0,0.45372
209,0,0,0.83248
210,0,0,0.55082
211,0,0,0.68768
212,0,0,0.96139
213,0,0,0.64111
214,0,0,0.6485
215,1,0,0.98921
216,0,0,0.65928
217,0,0,0.99432
218,0,0,0.9381
219,0,0,0.7155
220,0,0,0.8586
221,0,0,0.99319
222,0,0,0.59909
223,0,0,0.38728
224,0,0,0.67178
225,0,0,0.50142
226,0,0,0.99091
227,0,0,0.6201
228,0,0,0.57354
229,0,0,0.99489
230,0,0,0.99262
231,0,0,0.54231
232,0,0,0.4912
233,0,0,0.68995
234,0,0,0.56786
235,0,0,0.5883
236,0,0,0.89949
237,0,0,0.57751
238,0,0,0.49574
239,0,0,0.71777
240,0,0,0.68995
241,0,0,0.90574
242,0,0,0.51164
243,0,0,0.63543
244,0,0,0.81885
245,0,0,0.56275
246,0,0,0.72743
247,0,0,0.71437
248,0,0,0.61953
249,0,0,0.79216
250,0,0,0.51789
251,0,0,0.70926
252,0,0,0.92504
