pcorrect_com_x_fit,pcorrect_com_y_fit
8.2944,0.57892
8.32,0.57912
8.3456,0.57933
8.3712,0.57953
8.3968,0.57973
8.4224,0.57993
8.448,0.58013
8.4736,0.58033
8.4992,0.58053
8.5248,0.58074
8.5504,0.58094
8.576,0.58114
8.6016,0.58134
8.6272,0.58154
8.6528,0.58174
8.6784,0.58194
8.704,0.58213
8.7296,0.58233
8.7552,0.58253
8.7808,0.58273
8.8064,0.58293
8.832,0.58313
8.8576,0.58333
8.8832,0.58352
8.9088,0.58372
8.9344,0.58392
8.96,0.58412
8.9856,0.58431
9.0112,0.58451
9.0368,0.58471
9.0624,0.5849
9.088,0.5851
9.1136,0.5853
9.1392,0.58549
9.1648,0.58569
9.1904,0.58589
9.216,0.58608
9.2416,0.58628
9.2672,0.58647
9.2928,0.58667
9.3184,0.58686
9.344,0.58706
9.3696,0.58725
9.3952,0.58744
9.4208,0.58764
9.4464,0.58783
9.472,0.58802
9.4976,0.58822
9.5232,0.58841
9.5488,0.5886
9.5744,0.5888
9.6,0.58899
9.6256,0.58918
9.6512,0.58937
9.6768,0.58957
9.7024,0.58976
9.728,0.58995
9.7536,0.59014
9.7792,0.59033
9.8048,0.59052
9.8304,0.59071
9.856,0.59091
9.8816,0.5911
9.9072,0.59129
9.9328,0.59148
9.9584,0.59167
9.984,0.59186
10.01,0.59205
10.035,0.59223
10.061,0.59242
10.086,0.59261
10.112,0.5928
10.138,0.59299
10.163,0.59318
10.189,0.59337
10.214,0.59355
10.24,0.59374
10.266,0.59393
10.291,0.59412
10.317,0.5943
10.342,0.59449
10.368,0.59468
10.394,0.59486
10.419,0.59505
10.445,0.59524
10.47,0.59542
10.496,0.59561
10.522,0.59579
10.547,0.59598
10.573,0.59617
10.598,0.59635
10.624,0.59654
10.65,0.59672
10.675,0.5969
10.701,0.59709
10.726,0.59727
10.752,0.59746
10.778,0.59764
10.803,0.59782
10.829,0.59801
10.854,0.59819
10.88,0.59837
10.906,0.59856
10.931,0.59874
10.957,0.59892
10.982,0.5991
11.008,0.59929
11.034,0.59947
11.059,0.59965
11.085,0.59983
11.11,0.60001
11.136,0.60019
11.162,0.60037
11.187,0.60055
11.213,0.60073
11.238,0.60091
11.264,0.60109
11.29,0.60127
11.315,0.60145
11.341,0.60163
11.366,0.60181
11.392,0.60199
11.418,0.60217
11.443,0.60235
11.469,0.60253
11.494,0.60271
11.52,0.60288
11.546,0.60306
11.571,0.60324
11.597,0.60342
11.622,0.6036
11.648,0.60377
11.674,0.60395
11.699,0.60413
11.725,0.6043
11.75,0.60448
11.776,0.60466
11.802,0.60483
11.827,0.60501
11.853,0.60518
11.878,0.60536
11.904,0.60553
11.93,0.60571
11.955,0.60588
11.981,0.60606
12.006,0.60623
12.032,0.60641
12.058,0.60658
12.083,0.60675
12.109,0.60693
12.134,0.6071
12.16,0.60728
12.186,0.60745
12.211,0.60762
12.237,0.60779
12.262,0.60797
12.288,0.60814
12.314,0.60831
12.339,0.60848
12.365,0.60865
12.39,0.60883
12.416,0.609
12.442,0.60917
12.467,0.60934
12.493,0.60951
12.518,0.60968
12.544,0.60985
12.57,0.61002
12.595,0.61019
12.621,0.61036
12.646,0.61053
12.672,0.6107
12.698,0.61087
12.723,0.61104
12.749,0.61121
12.774,0.61138
12.8,0.61155
12.826,0.61171
12.851,0.61188
12.877,0.61205
12.902,0.61222
12.928,0.61238
12.954,0.61255
12.979,0.61272
13.005,0.61289
13.03,0.61305
13.056,0.61322
13.082,0.61339
13.107,0.61355
13.133,0.61372
13.158,0.61388
13.184,0.61405
13.21,0.61421
13.235,0.61438
13.261,0.61455
13.286,0.61471
13.312,0.61487
13.338,0.61504
13.363,0.6152
13.389,0.61537
13.414,0.61553
13.44,0.61569
13.466,0.61586
13.491,0.61602
13.517,0.61618
13.542,0.61635
13.568,0.61651
13.594,0.61667
13.619,0.61684
13.645,0.617
13.67,0.61716
13.696,0.61732
13.722,0.61748
13.747,0.61764
13.773,0.61781
13.798,0.61797
13.824,0.61813
13.85,0.61829
13.875,0.61845
13.901,0.61861
13.926,0.61877
13.952,0.61893
13.978,0.61909
14.003,0.61925
14.029,0.61941
14.054,0.61957
14.08,0.61972
14.106,0.61988
14.131,0.62004
14.157,0.6202
14.182,0.62036
14.208,0.62052
14.234,0.62067
14.259,0.62083
14.285,0.62099
14.31,0.62114
14.336,0.6213
14.362,0.62146
14.387,0.62162
14.413,0.62177
14.438,0.62193
14.464,0.62208
14.49,0.62224
14.515,0.62239
14.541,0.62255
14.566,0.62271
14.592,0.62286
14.618,0.62302
14.643,0.62317
14.669,0.62332
14.694,0.62348
14.72,0.62363
14.746,0.62379
14.771,0.62394
14.797,0.62409
14.822,0.62425
14.848,0.6244
14.874,0.62455
14.899,0.62471
14.925,0.62486
14.95,0.62501
14.976,0.62516
15.002,0.62531
15.027,0.62547
15.053,0.62562
15.078,0.62577
15.104,0.62592
15.13,0.62607
15.155,0.62622
15.181,0.62637
15.206,0.62652
15.232,0.62667
15.258,0.62682
15.283,0.62697
15.309,0.62712
15.334,0.62727
15.36,0.62742
15.386,0.62757
15.411,0.62772
15.437,0.62787
15.462,0.62802
15.488,0.62816
15.514,0.62831
15.539,0.62846
15.565,0.62861
15.59,0.62875
15.616,0.6289
15.642,0.62905
15.667,0.6292
15.693,0.62934
15.718,0.62949
15.744,0.62964
15.77,0.62978
15.795,0.62993
15.821,0.63007
15.846,0.63022
15.872,0.63036
15.898,0.63051
15.923,0.63065
15.949,0.6308
15.974,0.63094
16,0.63109
16.026,0.63123
16.051,0.63138
16.077,0.63152
16.102,0.63166
16.128,0.63181
16.154,0.63195
16.179,0.63209
16.205,0.63224
16.23,0.63238
16.256,0.63252
16.282,0.63266
16.307,0.63281
16.333,0.63295
16.358,0.63309
16.384,0.63323
16.41,0.63337
16.435,0.63351
16.461,0.63365
16.486,0.63379
16.512,0.63394
16.538,0.63408
16.563,0.63422
16.589,0.63436
16.614,0.6345
16.64,0.63464
16.666,0.63477
16.691,0.63491
16.717,0.63505
16.742,0.63519
16.768,0.63533
16.794,0.63547
16.819,0.63561
16.845,0.63574
16.87,0.63588
16.896,0.63602
16.922,0.63616
16.947,0.6363
16.973,0.63643
16.998,0.63657
17.024,0.63671
17.05,0.63684
17.075,0.63698
17.101,0.63711
17.126,0.63725
17.152,0.63739
17.178,0.63752
17.203,0.63766
17.229,0.63779
17.254,0.63793
17.28,0.63806
17.306,0.6382
17.331,0.63833
17.357,0.63846
17.382,0.6386
17.408,0.63873
17.434,0.63887
17.459,0.639
17.485,0.63913
17.51,0.63927
17.536,0.6394
17.562,0.63953
17.587,0.63966
17.613,0.6398
17.638,0.63993
17.664,0.64006
17.69,0.64019
17.715,0.64032
17.741,0.64045
17.766,0.64059
17.792,0.64072
17.818,0.64085
17.843,0.64098
17.869,0.64111
17.894,0.64124
17.92,0.64137
17.946,0.6415
17.971,0.64163
17.997,0.64176
18.022,0.64189
18.048,0.64201
18.074,0.64214
18.099,0.64227
18.125,0.6424
18.15,0.64253
18.176,0.64266
18.202,0.64278
18.227,0.64291
18.253,0.64304
18.278,0.64317
18.304,0.64329
18.33,0.64342
18.355,0.64355
18.381,0.64367
18.406,0.6438
18.432,0.64393
18.458,0.64405
18.483,0.64418
18.509,0.6443
18.534,0.64443
18.56,0.64455
18.586,0.64468
18.611,0.6448
18.637,0.64493
18.662,0.64505
18.688,0.64518
18.714,0.6453
18.739,0.64542
18.765,0.64555
18.79,0.64567
18.816,0.64579
18.842,0.64592
18.867,0.64604
18.893,0.64616
18.918,0.64628
18.944,0.64641
18.97,0.64653
18.995,0.64665
19.021,0.64677
19.046,0.64689
19.072,0.64702
19.098,0.64714
19.123,0.64726
19.149,0.64738
19.174,0.6475
19.2,0.64762
19.226,0.64774
19.251,0.64786
19.277,0.64798
19.302,0.6481
19.328,0.64822
19.354,0.64834
19.379,0.64846
19.405,0.64857
19.43,0.64869
19.456,0.64881
19.482,0.64893
19.507,0.64905
19.533,0.64916
19.558,0.64928
19.584,0.6494
19.61,0.64952
19.635,0.64963
19.661,0.64975
19.686,0.64987
19.712,0.64998
19.738,0.6501
19.763,0.65022
19.789,0.65033
19.814,0.65045
19.84,0.65056
19.866,0.65068
19.891,0.65079
19.917,0.65091
19.942,0.65102
19.968,0.65114
19.994,0.65125
20.019,0.65137
20.045,0.65148
20.07,0.65159
20.096,0.65171
20.122,0.65182
20.147,0.65193
20.173,0.65205
20.198,0.65216
20.224,0.65227
20.25,0.65238
20.275,0.6525
20.301,0.65261
20.326,0.65272
20.352,0.65283
20.378,0.65294
20.403,0.65305
20.429,0.65317
20.454,0.65328
20.48,0.65339
20.506,0.6535
20.531,0.65361
20.557,0.65372
20.582,0.65383
20.608,0.65394
20.634,0.65405
20.659,0.65416
20.685,0.65427
20.71,0.65437
20.736,0.65448
20.762,0.65459
20.787,0.6547
20.813,0.65481
20.838,0.65492
20.864,0.65502
20.89,0.65513
20.915,0.65524
20.941,0.65535
20.966,0.65545
20.992,0.65556
21.018,0.65567
21.043,0.65577
21.069,0.65588
21.094,0.65598
21.12,0.65609
21.146,0.6562
21.171,0.6563
21.197,0.65641
21.222,0.65651
21.248,0.65662
21.274,0.65672
21.299,0.65683
21.325,0.65693
21.35,0.65703
21.376,0.65714
21.402,0.65724
21.427,0.65735
21.453,0.65745
21.478,0.65755
21.504,0.65766
21.53,0.65776
21.555,0.65786
21.581,0.65796
21.606,0.65806
21.632,0.65817
21.658,0.65827
21.683,0.65837
21.709,0.65847
21.734,0.65857
21.76,0.65867
21.786,0.65877
21.811,0.65888
21.837,0.65898
21.862,0.65908
21.888,0.65918
21.914,0.65928
21.939,0.65938
21.965,0.65948
21.99,0.65957
22.016,0.65967
22.042,0.65977
22.067,0.65987
22.093,0.65997
22.118,0.66007
22.144,0.66017
22.17,0.66026
22.195,0.66036
22.221,0.66046
22.246,0.66056
22.272,0.66065
22.298,0.66075
22.323,0.66085
22.349,0.66094
22.374,0.66104
22.4,0.66114
22.426,0.66123
22.451,0.66133
22.477,0.66142
22.502,0.66152
22.528,0.66161
22.554,0.66171
22.579,0.6618
22.605,0.6619
22.63,0.66199
22.656,0.66209
22.682,0.66218
22.707,0.66228
22.733,0.66237
22.758,0.66246
22.784,0.66256
22.81,0.66265
22.835,0.66274
22.861,0.66283
22.886,0.66293
22.912,0.66302
22.938,0.66311
22.963,0.6632
22.989,0.6633
23.014,0.66339
23.04,0.66348
23.066,0.66357
23.091,0.66366
23.117,0.66375
23.142,0.66384
23.168,0.66393
23.194,0.66402
23.219,0.66411
23.245,0.6642
23.27,0.66429
23.296,0.66438
23.322,0.66447
23.347,0.66456
23.373,0.66465
23.398,0.66474
23.424,0.66483
23.45,0.66491
23.475,0.665
23.501,0.66509
23.526,0.66518
23.552,0.66527
23.578,0.66535
23.603,0.66544
23.629,0.66553
23.654,0.66561
23.68,0.6657
23.706,0.66579
23.731,0.66587
23.757,0.66596
23.782,0.66604
23.808,0.66613
23.834,0.66622
23.859,0.6663
23.885,0.66639
23.91,0.66647
23.936,0.66655
23.962,0.66664
23.987,0.66672
24.013,0.66681
24.038,0.66689
24.064,0.66698
24.09,0.66706
24.115,0.66714
24.141,0.66723
24.166,0.66731
24.192,0.66739
24.218,0.66747
24.243,0.66756
24.269,0.66764
24.294,0.66772
24.32,0.6678
24.346,0.66788
24.371,0.66796
24.397,0.66805
24.422,0.66813
24.448,0.66821
24.474,0.66829
24.499,0.66837
24.525,0.66845
24.55,0.66853
24.576,0.66861
24.602,0.66869
24.627,0.66877
24.653,0.66885
24.678,0.66893
24.704,0.669
24.73,0.66908
24.755,0.66916
24.781,0.66924
24.806,0.66932
24.832,0.6694
24.858,0.66947
24.883,0.66955
24.909,0.66963
24.934,0.6697
24.96,0.66978
24.986,0.66986
25.011,0.66993
25.037,0.67001
25.062,0.67009
25.088,0.67016
25.114,0.67024
25.139,0.67031
25.165,0.67039
25.19,0.67047
25.216,0.67054
25.242,0.67061
25.267,0.67069
25.293,0.67076
25.318,0.67084
25.344,0.67091
25.37,0.67099
25.395,0.67106
25.421,0.67113
25.446,0.67121
25.472,0.67128
25.498,0.67135
25.523,0.67142
25.549,0.6715
25.574,0.67157
25.6,0.67164
