is_com,coherence,eye_IT
1,0,0,0.9687
2,0,0,0.77677
3,0,0,0.96623
4,0,0,0.89374
5,0,0,0.92669
6,0,0,0.78583
7,0,0,0.75041
8,0,0,0.98517
9,0,0,0.40198
10,0,0,0.79654
11,0,0,0.57084
12,0,0,0.69852
13,0,0,0.91516
14,0,0,0.69852
15,0,0,0.73723
16,0,0,0.44152
17,0,0,0.7603
18,0,0,0.40445
19,0,0,0.97858
20,0,0,0.98023
21,0,0,0.68122
22,0,0,0.61203
23,1,0,0.98188
24,0,0,0.97529
25,0,0,0.96787
26,0,0,0.81713
27,0,0,0.43575
28,0,0,0.61038
29,0,0,0.97941
30,0,0,0.67463
31,0,0,0.8089
32,0,0,0.97035
33,0,0,0.72817
34,0,0,0.97941
35,0,0,0.82702
36,0,0,0.56837
37,0,0,0.40033
38,0,0,0.78583
39,0,0,0.97776
40,0,0,0.58484
41,0,0,0.97529
42,1,0,0.97858
43,0,0,0.36903
44,0,0,0.98023
45,0,0,0.78913
46,0,0,0.52471
47,0,0,0.82043
48,0,0,0.63756
49,0,0,0.64498
50,0,0,0.53871
51,0,0,0.36079
52,1,0,0.97529
53,0,0,0.70923
54,0,0,0.65568
55,0,0,0.9827
56,0,0,0.79407
57,0,0,0.16969
58,0,0,0.92175
59,0,0,0.47282
60,0,0,0.77677
61,0,0,0.52224
62,0,0,0.64827
63,0,0,0.47858
64,0,0,0.78501
65,0,0,0.75535
66,0,0,0.98435
67,0,0,0.77512
68,0,0,0.9687
69,0,0,0.76689
70,0,0,0.42504
71,0,0,0.97199
72,0,0,0.56507
73,0,0,0.96211
74,0,0,0.83608
75,0,0,0.7397
76,0,0,0.97694
77,0,0,0.95717
78,0,0,0.30725
79,0,0,0.9827
80,0,0,0.96952
81,1,0,0.73641
82,0,0,0.89292
83,0,0,0.78995
84,0,0,0.78336
85,0,0,0.98764
86,0,0,0.61944
87,0,0,0.54283
88,0,0,0.46046
89,0,0,0.63097
90,0,0,0.97694
91,0,0,0.51812
92,0,0,0.78418
93,1,0,0.98517
94,0,0,0.75206
95,0,0,0.76606
96,0,0,0.48682
97,0,0,0.98435
98,0,0,0.37562
99,0,0,0.90362
100,0,0,0.49753
101,0,0,0.72323
102,0,0,0.986
103,0,0,0.97199
104,0,0,0.79242
105,0,0,0.80725
106,0,0,0.76524
107,0,0,0.64745
108,0,0,0.60214
109,0,0,0.74465
110,0,0,0.98188
111,0,0,0.89621
112,0,0,0.97611
113,0,0,0.90857
114,0,0,0.94069
115,0,0,0.5832
116,0,0,0.71499
117,0,0,0.97941
118,0,0,0.58814
119,0,0,0.98023
120,0,0,0.50247
121,0,0,0.71005
122,0,0,0.61285
123,0,0,0.94069
124,0,0,0.88962
125,0,0,0.97117
126,0,0,0.9827
127,0,0,0.98023
128,0,0,0.8855
129,0,0,0.54366
130,0,0,0.98105
131,0,0,0.48764
132,0,0,0.85091
133,0,0,0.79819
134,0,0,0.97364
135,0,0,0.61203
136,0,0,0.74712
137,0,0,0.84679
138,0,0,0.50494
139,0,0,0.70346
140,0,0,0.97941
141,0,0,0.94646
142,0,0,0.76442
143,0,0,0.70923
144,0,0,0.9687
145,0,0,0.54942
