is_com,coherence,hand_IT
1,0,0,0.67443
2,0,0,0.51198
3,0,0,0.62916
4,0,0,0.47204
5,0,0,0.82357
6,0,0,0.71172
7,0,0,0.98868
8,0,0,0.71971
9,0,0,0.79827
10,0,0,0.84021
11,1,0,0.99068
12,0,0,0.76631
13,0,0,0.55925
14,0,0,0.80826
15,0,0,0.50599
16,0,0,0.68509
17,0,0,0.99134
18,0,0,0.98868
19,1,0,0.99467
20,1,0,0.99134
21,0,0,0.99134
22,0,0,0.5992
23,0,0,0.34288
24,0,0,0.5486
25,0,0,0.90812
26,0,0,0.64115
27,0,0,0.93742
28,0,0,0.66578
29,0,0,0.45073
30,0,0,0.93209
31,0,0,0.70839
32,0,0,0.6731
33,0,0,0.51065
34,0,0,0.52796
35,0,0,0.78628
36,1,0,0.99268
37,0,0,0.91678
38,0,0,0.67643
39,0,0,0.97736
40,0,0,0.33688
41,0,0,0.7237
42,0,0,0.57057
43,0,0,0.93076
44,0,0,0.90213
45,0,0,0.75566
46,0,0,0.99601
47,0,0,0.46138
48,0,0,0.50932
49,0,0,0.59121
50,0,0,0.96538
51,0,0,0.65779
52,0,0,0.99068
53,0,0,0.69574
54,0,0,0.21438
55,0,0,0.61651
56,0,0,0.58855
57,0,0,0.57723
58,0,0,0.87617
59,0,0,0.52397
60,0,0,0.99068
61,0,0,0.51065
62,0,0,0.55126
63,1,0,0.99201
64,0,0,0.65579
65,0,0,0.76032
66,0,0,0.58988
67,0,0,0.55925
68,0,0,0.94208
69,0,0,0.6518
70,0,0,0.98868
71,0,0,0.8482
72,0,0,0.54993
73,0,0,0.94407
74,0,0,0.92077
75,0,0,0.67377
76,0,0,0.86751
77,0,0,0.7277
78,0,0,0.94141
79,0,0,0.57124
80,0,0,0.91012
81,0,0,0.99068
82,0,0,0.99201
83,0,0,0.67909
84,0,0,0.68109
85,0,0,0.56125
86,0,0,0.73103
87,0,0,0.66911
88,0,0,0.69108
89,0,0,0.82756
90,0,0,0.85952
91,0,0,0.83955
92,0,0,0.84421
93,0,0,0.37417
94,0,0,0.90413
95,0,0,0.67244
96,0,0,0.51398
97,0,0,0.68575
98,0,0,0.88415
99,0,0,0.99001
100,0,0,0.98868
101,0,0,0.72503
102,0,0,0.39015
103,0,0,0.87683
104,0,0,0.93409
105,0,0,0.43342
106,0,0,0.86019
107,0,0,0.43209
108,0,0,0.76032
109,1,0,0.99201
110,0,0,0.81558
111,0,0,0.70706
112,0,0,0.64847
113,0,0,0.73302
114,0,0,0.61052
115,0,0,0.99534
116,0,0,0.96205
117,0,0,0.5486
118,0,0,0.64647
119,0,0,0.35153
120,0,0,0.87617
121,0,0,0.61318
122,0,0,0.67044
123,1,0,0.99068
124,0,0,0.75632
125,0,0,0.71372
126,0,0,0.94674
127,0,0,0.93675
128,1,0,0.99467
129,0,0,0.89481
130,0,0,0.92011
131,0,0,0.63582
132,1,0,0.99268
133,1,0,0.99001
134,0,0,0.99068
135,0,0,0.59587
136,0,0,0.73502
137,0,0,0.66312
138,1,0,0.99268
139,0,0,0.66112
140,0,0,0.83023
141,0,0,0.48469
142,0,0,0.76032
143,0,0,0.5719
144,0,0,0.83822
145,0,0,0.5273
146,0,0,0.49401
147,1,0,0.99268
148,0,0,0.99134
149,0,0,0.67443
150,1,0,0.99134
151,0,0,0.61851
152,0,0,0.99134
153,0,0,0.86485
154,0,0,0.61651
155,0,0,0.98935
156,0,0,0.48469
157,0,0,0.83555
158,0,0,0.40945
159,0,0,0.98935
160,0,0,0.69973
161,0,0,0.82557
162,0,0,0.78429
163,0,0,0.7783
164,0,0,0.75899
165,0,0,0.62583
166,0,0,0.91145
167,0,0,0.75233
168,0,0,0.75899
169,0,0,0.5486
170,0,0,0.4787
171,0,0,0.45672
172,0,0,0.95007
173,0,0,0.76365
174,0,0,0.99268
175,0,0,0.57457
176,0,0,0.55193
177,0,0,0.71904
178,0,0,0.44607
179,0,0,0.56991
180,0,0,0.61651
181,0,0,0.63915
182,0,0,0.43875
183,0,0,0.98935
184,0,0,0.63848
185,0,0,0.65912
186,0,0,0.68708
187,1,0,0.99601
188,0,0,0.17909
189,0,0,0.70706
190,0,0,0.6964
191,0,0,0.69507
192,0,0,0.79694
193,0,0,0.44208
194,0,0,0.49534
195,0,0,0.39214
196,0,0,0.80826
197,0,0,0.76498
198,1,0,0.99334
199,1,0,0.99134
200,1,0,0.99068
201,0,0,0.56125
202,0,0,0.93409
203,0,0,0.70306
204,0,0,0.75965
205,0,0,0.90812
206,0,0,0.72237
207,0,0,0.90146
208,0,0,0.502
209,0,0,0.91411
210,0,0,0.55393
211,0,0,0.66578
212,0,0,0.99001
213,0,0,0.85819
214,0,0,0.64048
215,1,0,0.98868
216,0,0,0.66778
217,1,0,0.99268
218,0,0,0.98868
219,0,0,0.81691
220,0,0,0.97004
221,1,0,0.99268
222,0,0,0.64447
223,0,0,0.37949
224,0,0,0.91611
225,0,0,0.41478
226,0,0,0.99001
227,0,0,0.71904
228,0,0,0.65379
229,1,0,0.99334
230,0,0,0.99268
231,0,0,0.71372
232,0,0,0.4028
233,0,0,0.93808
234,0,0,0.64048
235,0,0,0.6225
236,0,0,0.89947
237,0,0,0.52597
238,0,0,0.51132
239,0,0,0.67377
240,0,0,0.74567
241,0,0,0.95939
242,0,0,0.42676
243,0,0,0.60453
244,0,0,0.98802
245,0,0,0.62983
246,0,0,0.76099
247,0,0,0.89214
248,0,0,0.60719
249,0,0,0.88349
250,0,0,0.46471
251,0,0,0.90146
252,0,0,0.95672
253,1,0,0.99068
254,0,0,0.78762
255,0,0,0.66178
256,0,0,0.99268
257,0,0,0.56791
258,0,0,0.91678
259,0,0,0.56325
260,0,0,0.44341
261,0,0,0.90679
262,0,0,0.54993
263,0,0,0.54993
264,0,0,0.67177
265,0,0,0.72437
266,0,0,0.36951
267,0,0,0.99201
268,0,0,0.65646
269,0,0,0.41611
270,0,0,0.77164
271,0,0,0.5213
272,0,0,0.98735
273,0,0,0.92477
274,0,0,0.64115
275,0,0,0.81092
276,0,0,0.66312
277,0,0,0.71571
278,0,0,0.60253
279,0,0,0.5486
280,0,0,0.83555
281,0,0,0.73968
282,0,0,0.54328
283,0,0,0.62916
284,0,0,0.60919
285,0,0,0.96871
286,0,0,0.56458
287,0,0,0.95606
288,0,0,0.76032
289,0,0,0.86218
290,0,0,0.68908
291,0,0,0.72503
292,0,0,0.71904
293,0,0,0.4787
294,0,0,0.93742
295,0,0,0.95406
296,0,0,0.6245
297,0,0,0.86019
298,0,0,0.99268
299,0,0,0.98868
300,0,0,0.4494
301,0,0,0.50533
302,0,0,0.95473
303,0,0,0.78362
304,0,0,0.99334
305,1,0,0.99201
306,1,0,0.99268
307,0,0,0.84088
308,0,0,0.80692
309,0,0,0.92943
310,0,0,0.78695
311,0,0,0.69108
312,0,0,0.59854
313,0,0,0.8016
314,0,0,0.38282
315,0,0,0.61651
316,0,0,0.71438
317,0,0,0.98668
318,0,0,0.5486
319,0,0,0.48402
320,0,0,0.84021
321,0,0,0.53063
322,0,0,0.81225
323,0,0,0.65579
324,0,0,0.78495
325,0,0,0.8269
326,0,0,0.49401
327,0,0,0.63182
328,0,0,0.85486
329,0,0,0.5233
330,0,0,0.98935
331,0,0,0.53395
332,1,0,0.99001
333,0,0,0.76565
334,0,0,0.85619
335,0,0,0.60253
336,1,0,0.99268
337,0,0,0.76631
338,0,0,0.65846
339,0,0,0.98868
340,0,0,0.99268
341,0,0,0.80493
342,0,0,0.60719
343,0,0,0.85952
344,0,0,0.52863
345,0,0,0.53395
346,0,0,0.5506
347,0,0,0.99334
348,0,0,0.3755
349,0,0,0.79427
350,0,0,0.8016
351,0,0,0.53795
352,0,0,0.51864
353,0,0,0.71372
