x_fit,y_fit
0,0.56829
0.00078112,0.56897
0.0015622,0.56964
0.0023434,0.57032
0.0031245,0.571
0.0039056,0.57168
0.0046867,0.57235
0.0054678,0.57303
0.0062489,0.57371
0.0070301,0.57438
0.0078112,0.57506
0.0085923,0.57574
0.0093734,0.57641
0.010155,0.57709
0.010936,0.57777
0.011717,0.57844
0.012498,0.57912
0.013279,0.5798
0.01406,0.58047
0.014841,0.58115
0.015622,0.58182
0.016403,0.5825
0.017185,0.58317
0.017966,0.58385
0.018747,0.58452
0.019528,0.58519
0.020309,0.58587
0.02109,0.58654
0.021871,0.58721
0.022652,0.58789
0.023434,0.58856
0.024215,0.58923
0.024996,0.5899
0.025777,0.59057
0.026558,0.59124
0.027339,0.59191
0.02812,0.59258
0.028901,0.59325
0.029682,0.59392
0.030464,0.59459
0.031245,0.59526
0.032026,0.59593
0.032807,0.59659
0.033588,0.59726
0.034369,0.59793
0.03515,0.59859
0.035931,0.59926
0.036713,0.59992
0.037494,0.60059
0.038275,0.60125
0.039056,0.60191
0.039837,0.60257
0.040618,0.60324
0.041399,0.6039
0.04218,0.60456
0.042961,0.60522
0.043743,0.60588
0.044524,0.60653
0.045305,0.60719
0.046086,0.60785
0.046867,0.60851
0.047648,0.60916
0.048429,0.60982
0.04921,0.61047
0.049991,0.61112
0.050773,0.61178
0.051554,0.61243
0.052335,0.61308
0.053116,0.61373
0.053897,0.61438
0.054678,0.61503
0.055459,0.61568
0.05624,0.61632
0.057022,0.61697
0.057803,0.61761
0.058584,0.61826
0.059365,0.6189
0.060146,0.61954
0.060927,0.62019
0.061708,0.62083
0.062489,0.62147
0.06327,0.6221
0.064052,0.62274
0.064833,0.62338
0.065614,0.62402
0.066395,0.62465
0.067176,0.62528
0.067957,0.62592
0.068738,0.62655
0.069519,0.62718
0.070301,0.62781
0.071082,0.62844
0.071863,0.62907
0.072644,0.62969
0.073425,0.63032
0.074206,0.63094
0.074987,0.63156
0.075768,0.63219
0.076549,0.63281
0.077331,0.63343
0.078112,0.63405
0.078893,0.63466
0.079674,0.63528
0.080455,0.63589
0.081236,0.63651
0.082017,0.63712
0.082798,0.63773
0.08358,0.63834
0.084361,0.63895
0.085142,0.63956
0.085923,0.64016
0.086704,0.64077
0.087485,0.64137
0.088266,0.64197
0.089047,0.64257
0.089828,0.64317
0.09061,0.64377
0.091391,0.64437
0.092172,0.64496
0.092953,0.64556
0.093734,0.64615
0.094515,0.64674
0.095296,0.64733
0.096077,0.64792
0.096859,0.6485
0.09764,0.64909
0.098421,0.64967
0.099202,0.65025
0.099983,0.65083
0.10076,0.65141
0.10155,0.65199
0.10233,0.65257
0.10311,0.65314
0.10389,0.65371
0.10467,0.65429
0.10545,0.65486
0.10623,0.65542
0.10701,0.65599
0.10779,0.65655
0.10858,0.65712
0.10936,0.65768
0.11014,0.65824
0.11092,0.6588
0.1117,0.65935
0.11248,0.65991
0.11326,0.66046
0.11404,0.66101
0.11482,0.66156
0.11561,0.66211
0.11639,0.66266
0.11717,0.6632
0.11795,0.66374
0.11873,0.66428
0.11951,0.66482
0.12029,0.66536
0.12107,0.6659
0.12185,0.66643
0.12264,0.66696
0.12342,0.66749
0.1242,0.66802
0.12498,0.66854
0.12576,0.66907
0.12654,0.66959
0.12732,0.67011
0.1281,0.67063
0.12888,0.67114
0.12967,0.67166
0.13045,0.67217
0.13123,0.67268
0.13201,0.67319
0.13279,0.6737
0.13357,0.6742
0.13435,0.6747
0.13513,0.6752
0.13591,0.6757
0.1367,0.6762
0.13748,0.67669
0.13826,0.67718
0.13904,0.67767
0.13982,0.67816
0.1406,0.67865
0.14138,0.67913
0.14216,0.67961
0.14294,0.68009
0.14373,0.68057
0.14451,0.68104
0.14529,0.68151
0.14607,0.68198
0.14685,0.68245
0.14763,0.68292
0.14841,0.68338
0.14919,0.68384
0.14997,0.6843
0.15076,0.68476
0.15154,0.68521
0.15232,0.68566
0.1531,0.68611
0.15388,0.68656
0.15466,0.68701
0.15544,0.68745
0.15622,0.68789
0.157,0.68833
0.15779,0.68876
0.15857,0.6892
0.15935,0.68963
0.16013,0.69006
0.16091,0.69048
0.16169,0.69091
0.16247,0.69133
0.16325,0.69175
0.16403,0.69216
0.16482,0.69258
0.1656,0.69299
0.16638,0.6934
0.16716,0.69381
0.16794,0.69422
0.16872,0.69462
0.1695,0.69502
0.17028,0.69542
0.17106,0.69582
0.17185,0.69622
0.17263,0.69661
0.17341,0.697
0.17419,0.69739
0.17497,0.69778
0.17575,0.69816
0.17653,0.69855
0.17731,0.69893
0.17809,0.69931
0.17888,0.69968
0.17966,0.70006
0.18044,0.70043
0.18122,0.7008
0.182,0.70117
0.18278,0.70154
0.18356,0.7019
0.18434,0.70226
0.18512,0.70262
0.18591,0.70298
0.18669,0.70333
0.18747,0.70369
0.18825,0.70404
0.18903,0.70439
0.18981,0.70474
0.19059,0.70508
0.19137,0.70543
0.19215,0.70577
0.19294,0.70611
0.19372,0.70644
0.1945,0.70678
0.19528,0.70711
0.19606,0.70744
0.19684,0.70777
0.19762,0.7081
0.1984,0.70842
0.19918,0.70875
0.19997,0.70907
0.20075,0.70939
0.20153,0.7097
0.20231,0.71002
0.20309,0.71033
0.20387,0.71064
0.20465,0.71095
0.20543,0.71126
0.20621,0.71157
0.207,0.71187
0.20778,0.71217
0.20856,0.71247
0.20934,0.71277
0.21012,0.71306
0.2109,0.71335
0.21168,0.71364
0.21246,0.71393
0.21324,0.71422
0.21403,0.71451
0.21481,0.71479
0.21559,0.71507
0.21637,0.71535
0.21715,0.71563
0.21793,0.7159
0.21871,0.71618
0.21949,0.71645
0.22028,0.71672
0.22106,0.71699
0.22184,0.71725
0.22262,0.71752
0.2234,0.71778
0.22418,0.71804
0.22496,0.7183
0.22574,0.71855
0.22652,0.71881
0.22731,0.71906
0.22809,0.71931
0.22887,0.71956
0.22965,0.7198
0.23043,0.72005
0.23121,0.72029
0.23199,0.72053
0.23277,0.72077
0.23355,0.72101
0.23434,0.72124
0.23512,0.72148
0.2359,0.72171
0.23668,0.72194
0.23746,0.72216
0.23824,0.72239
0.23902,0.72261
0.2398,0.72283
0.24058,0.72305
0.24137,0.72327
0.24215,0.72349
0.24293,0.7237
0.24371,0.72392
0.24449,0.72413
0.24527,0.72434
0.24605,0.72454
0.24683,0.72475
0.24761,0.72495
0.2484,0.72515
0.24918,0.72535
0.24996,0.72555
0.25074,0.72575
0.25152,0.72594
0.2523,0.72613
0.25308,0.72632
0.25386,0.72651
0.25464,0.7267
0.25543,0.72688
0.25621,0.72707
0.25699,0.72725
0.25777,0.72743
0.25855,0.7276
0.25933,0.72778
0.26011,0.72795
0.26089,0.72813
0.26167,0.7283
0.26246,0.72847
0.26324,0.72863
0.26402,0.7288
0.2648,0.72896
0.26558,0.72912
0.26636,0.72928
0.26714,0.72944
0.26792,0.7296
0.2687,0.72975
0.26949,0.7299
0.27027,0.73005
0.27105,0.7302
0.27183,0.73035
0.27261,0.7305
0.27339,0.73064
0.27417,0.73078
0.27495,0.73092
0.27573,0.73106
0.27652,0.7312
0.2773,0.73133
0.27808,0.73146
0.27886,0.7316
0.27964,0.73173
0.28042,0.73185
0.2812,0.73198
0.28198,0.7321
0.28276,0.73223
0.28355,0.73235
0.28433,0.73247
0.28511,0.73259
0.28589,0.7327
0.28667,0.73282
0.28745,0.73293
0.28823,0.73304
0.28901,0.73315
0.28979,0.73326
0.29058,0.73336
0.29136,0.73347
0.29214,0.73357
0.29292,0.73367
0.2937,0.73377
0.29448,0.73386
0.29526,0.73396
0.29604,0.73405
